id_puerto;nom_puerto;abreviatura_pais;geometry
GBOBA;Oban;GBR;POINT (-5.471900000000005 56.41673386799999)
PTSIE;Sines;PRT;POINT (-8.862799999999993 37.949533868)
FRARC;Arcachon;FRA;POINT (-1.158900000000017 44.66273386799998)
FRDPE;Dieppe;FRA;POINT (1.085899999999981 49.937333868)
IEGWY;Galway;IRL;POINT (-9.048299999999983 53.26673386800002)
PLUST;Ustka;POL;POINT (16.85849999999999 54.58893386800003)
DKNYM;Nykobing Mors;DNK;POINT (8.874900000000025 56.78793386799998)
SEOXE;Oxelosund;SWE;POINT (17.13029999999998 58.66293386799998)
NOSKU;Skudeneshavn;NOR;POINT (5.260299999999972 59.14583386800001)
USWYD;Wyandotte;USA;POINT (-83.1388 42.21553386800002)
USHYG;Hydaburg;USA;POINT (-132.8163 55.203633868)
TZKIM;Kilwa Masoko;TZA;POINT (39.51690000000002 -8.932766131999983)
NORVK;Rorvik;NOR;POINT (11.17469999999997 64.83793386799999)
GBSEA;Seaham;GBR;POINT (-1.323199999999986 54.82783386800003)
GBSSS;Sharpness;GBR;POINT (-2.490599999999972 51.71273386799999)
GBHTP;Hartlepool;GBR;POINT (-1.197400000000016 54.70033386799997)
ITMNF;Monfalcone;ITA;POINT (13.53890000000001 45.791033868)
FRSXB;Strasbourg;FRA;POINT (7.714499999999987 48.567733868)
FRABB;Abbeville;FRA;POINT (1.836500000000001 50.10493386799999)
GBFOY;Fowey;GBR;POINT (-4.656700000000001 50.32783386800003)
GBTNM;Teignmouth;GBR;POINT (-3.50200000000001 50.54853386799999)
GBCOW;Cowes;GBR;POINT (-1.3005 50.76573386799998)
GBFAW;Fawley;GBR;POINT (-1.358400000000017 50.84573386800002)
GBPFT;Purfleet;GBR;POINT (0.2452999999999861 51.47593386800003)
NLOOS;Oosterhout;NLD;POINT (4.857700000000023 51.63533386799998)
NLDOR;Dordrecht;NLD;POINT (4.657699999999977 51.81313386800002)
GBWIV;Wivenhoe;GBR;POINT (0.9615000000000009 51.85153386799999)
PENGS;Negritos;PER;POINT (-81.31610000000001 -4.667266132000009)
GBMIS;Mistley;GBR;POINT (1.074299999999994 51.95753386799998)
SEVAG;Varberg;SWE;POINT (12.24509999999998 57.106033868)
GBFDK;Fosdyke;GBR;POINT (-0.04719999999997526 52.872333868)
PHPUL;Pulupandan;PHL;POINT (122.796458624 10.525379719)
JPOGA;Funabashi;JPN;POINT (139.9756343510001 35.67697609700002)
JPAKT;Hatsukaichi;JPN;POINT (132.341833459 34.34854458199999)
MATNG;Tangier;MAR;POINT (-5.788000000000011 35.79323386800002)
JPSHS;Shimonoseki;JPN;POINT (130.8993846560001 33.93168593600001)
JPTKY;Tokuyama;JPN;POINT (131.796601947 34.04574457500001)
PGTLW;Talasea;PNG;POINT (150.0435 -5.338666132000014)
NZAKA;Akaroa;NZL;POINT (172.9615 -43.80196613200002)
AUHBA;Hobart;AUS;POINT (147.3295000000001 -42.866366132)
NZTMZ;Thames;NZL;POINT (175.5313 -37.14176613199999)
BRRIG;Rio Grande;BRA;POINT (-52.08150000000001 -32.05146613199997)
AUMOU;Mourilyan;AUS;POINT (146.1255 -17.59886613200001)
MYBKP;Bakapit;MYS;POINT (118.5755 4.954533867999999)
PHCTS;Catbalogan;PHL;POINT (124.8857 11.761133868)
PHTAG;Tagbilaran;PHL;POINT (123.849426302 9.650183864999974)
CNBHY;Beihai;CHN;POINT (109.0811 21.48393386800001)
JPMIY;Miyazu;JPN;POINT (135.2029 35.53663386800002)
JPKII;Kiire;JPN;POINT (130.5567 31.37533386799998)
JPTMI;Tsukumi;JPN;POINT (131.8611 33.08083386800001)
KRCHA;Cheju;KOR;POINT (126.5123 33.51393386799998)
KRYOS;Yosu;KOR;POINT (127.7509 34.73153386799999)
JPNNO;Nanao;JPN;POINT (136.9745 37.05153386799998)
JPNAO;Naoetsu;JPN;POINT (138.2331 37.17513386799999)
FIKEM;Kemi;FIN;POINT (24.52749999999997 65.67933386800001)
ARCRD;Comodoro Rivadavia;ARG;POINT (-67.46980000000002 -45.86216613200003)
NZMZP;Motueka;NZL;POINT (173.0067 -41.09916613199999)
NZNPE;Napier;NZL;POINT (176.8919 -39.481166132)
NZGIS;Gisborne;NZL;POINT (177.9893 -38.67586613200001)
NZAKL;Auckland;NZL;POINT (174.7897 -36.86526613199999)
AUARD;Ardrossan;AUS;POINT (137.9151000000001 -34.43266613200001)
AUPQQ;Port Macquarie;AUS;POINT (152.9115 -31.43796613199999)
AUBNE;Brisbane;AUS;POINT (153.0149 -27.47126613199998)
AUROK;Rockhampton;AUS;POINT (150.5475 -23.38146613200001)
AUWYN;Wyndham;AUS;POINT (128.1021 -15.45076613200001)
AOLOB;Lobito;AGO;POINT (13.54250000000002 -12.358866132)
PELOO;Los Organos;PER;POINT (-81.12380000000002 -4.170266131999995)
BRSAN;Santana;BRA;POINT (-51.18119999999999 -0.04636613200000284)
MYLUN;Lundu;MYS;POINT (109.8931 1.702233868000008)
INKRW;Karwar;IND;POINT (74.11709999999999 14.80353386799999)
CNSWE;Shanwei;CHN;POINT (115.3479 22.76863386799999)
JPMYK;Miyako;JPN;POINT (141.9752999999999 39.63853386800002)
AUKWI;Kwinana;AUS;POINT (115.7589 -32.23496613200001)
BRBPS;Porto Seguro;BRA;POINT (-39.06189999999998 -16.450366132)
MYPGU;Pasir Gudang;MYS;POINT (103.9017 1.435933868000006)
PHTLD;Toledo;PHL;POINT (123.62850163 10.37264531400001)
INPNY;Pondicherry;IND;POINT (79.82929999999999 11.91633386799998)
PHLAO;Laoag;PHL;POINT (120.5473 18.20143386799998)
INJAK;Jakhau;IND;POINT (68.6533 23.190933868)
FIKTK;Kotka;FIN;POINT (26.9391 60.469933868)
JPFUJ;Fukue;JPN;POINT (128.8529 32.683933868)
KRTGH;Tonghae;KOR;POINT (129.1387 37.48933386800002)
RUGRH;Gremikha;RUS;POINT (39.5317 68.049633868)
RUSRM;Severomorsk;RUS;POINT (33.45010000000002 69.08053386799997)
CNJIU;Jiujiang;CHN;POINT (115.9523 29.69113386800001)
CNZHE;Zhenjiang;CHN;POINT (119.4349 32.21443386800001)
BRPVH;Porto Velho;BRA;POINT (-63.91840000000002 -8.764966131999984)
TRALA;Alanya;TUR;POINT (32.0179 36.547133868)
