omimatricu;nombrenave;codigo_pais;id_agencia_arribo;codigotiponave;anoconstru;trb;dwt;eslora
CF8425HW;MELODY;USA;900.473.090-7;516;2000;18;0;14.4
CF920;GUEKAN;FRA;73.072.533;516;2000;12;0;13.1
CF-920;GUEKAN;FRA;73.072.533;516;2000;12;0;13.1
CFZ663DSD000;ARCTIC FRONT;USA;900.760.555-0;516;2000;24;0;13.48
CG-45142;CARDABELLE;FRA;73.072.533;516;2000;12;0;13.4
CG663063201;LADY HELEN;FRA;900.371.443-5;516;2000;10;0;13
CH496024301;DUGONG;FRA;73.072.533;516;2000;16.62;166.62;11.64
CH517597;SERCUL;FRA;73.072.533;516;2000;18;0;11.4
CH608663;KANAGA;FRA;900.025.233-2;516;2000;40;0;15.55
CH694024301;CORTO MALTESE III;FRA;900.342.455-1;516;2000;18.8;0;15.8
CH713;TALITHA KOUM;FRA;73.072.533;516;2000;15;0;15.54
CH858225;ANGELIQUE II;FRA;900.504.340-8;516;2000;18;0;16.4
CHA62124;KAGOU;FRA;900.025.233-2;516;2000;8;0;13.4
CHE65535;NAO;FRA;900.504.340-8;516;2000;12;0;13.9
CI0000408;NAMASTE;FRA;891.701.623-1;516;2000;8;0;11.55
CI2555-D;HILDEGARD HANSEN;ITA;900.342.455-1;516;2000;8;0;9.9
CI2735D;MICAMALE;ITA;73.072.533;516;2000;18;0;15.24
CI2735-D;MICAMALE;ITA;900.342.455-1;516;2000;18;0;15.24
CI2735DIO;MICAMALE;ITA;806.013.086-3;516;2000;17;0;15.24
CK3110408;BELTZHA;FRA;900.342.455-1;516;2000;18;0;12.94
CL04461440;DA  BOAT;FRA;900.371.443-5;516;2000;11.5;0;13.15
CL131036501;STRILA;FRA;900.504.340-8;516;2000;10;0;13
CL26436H;NAMAH;USA;900.342.455-1;516;2000;8;0;9.75
CL2643GH;NAMAH;USA;900.342.455-1;516;2000;8;0;9.75
CL-2643-GH;NAMAH;USA;806.013.086-3;516;2000;9.5;8;9.7
CL2758GH;LIVELY LADY;USA;900.025.233-2;516;2000;10;0;10.6
CM287;BLUE NOTE;FRA;73.072.533;516;2000;28;0;16.3
CM489;FONIA;FRA;900.371.443-5;516;2000;16;0;12
CN183064201;ANTISTRESS;FRA;900.342.455-1;516;2000;28;0;13
CN20125761078;TAYANA;CHN;901.183.474-0;516;2000;12;0;11.18
CN503;L`AVENTURIERE;FRA;900.025.233-2;516;2000;14;0;13.4
CN8442781708;STAY;USA;900.504.340-8;516;2000;10;0;13.33
CNB38217B303;WILD CAT;USA;73.072.533;516;2000;6.8;0;12
CNB47044K304;ON DELAY;USA;900.371.443-5;516;2000;48;0;14.5
CNC63606;ANIVUNGA;FRA;900.342.455-1;516;2000;20;0;13.95
CND37376;JUAN SA BULAN;FRA;900.342.455-1;516;2000;10;0;12.4
CP-01-1814-A;EXCALIBUR;COL;900.087.622-1;;2000;10.77;0;9.9
CP-01-2630-A;LA QASHQAI;COL;16.468.714-8;;2000;2.85;0;9.05
CP-02-0064;MARIA CAMILA-1;COL;16.468.714-8;1;2000;1.88;2.06;7.5
CP-02-0183;BARAJAS II;ECU;16.468.714-8;647;2000;2.47;1;7.6
CP-02-0197-B;ENSUE?O DE MANUEL;COL;12.905.045-1;1;2000;2.72;3.06;7.55
CP-02-0429;MARIA CAMILA III;COL;900.411.544-3;1;2000;2.66;4.42;7.7
CP-02-0461;JOAQUIN;COL;16.468.714-8;1;2000;2.15;2.12;7.12
CP-02-0470;MARINERA;COL;16.468.714-8;1;2000;2.33;1.79;8
CP-02-0491;JOAQUIN;COL;16.468.714-8;1;2000;2.75;2.86;7.6
CP-02-0502;LUISA FERNANDA 1;COL;16.468.714-8;1;2000;2.87;2.89;7.7
CP--02-0502;LUISA FERNANDA;COL;16.468.714-8;;2000;0;0;0
CP-02-0505;DANNY M;COL;16.468.714-8;1;2000;2.23;2.72;7.68
CP-02-0507;CACHAMA;COL;16.468.714-8;1;2000;2.94;1.39;7.7
CP-02-0558-B;ANYELO FERNEY;COL;16.468.714-8;1;2000;1.97;1.25;7.12
CP-02-0571;KEROFER;COL;16.468.714-8;1;2000;1.8;1.35;6.8
CP-02-0588;DORIS JOHANA I;COL;12.905.045-1;1;2000;2.47;1.34;9.2
CP-02-0590;LOBO DE MAR;COL;16.468.714-8;1;2000;2.29;2.43;6.8
CP-02-0600;GABY LILIANA;COL;16.468.714-8;1;2000;3.19;4.19;8.75
CP020621;EL ANDARIEGO;COL;12.905.045-1;;2000;0;0;0
CP-020621;EL ANDARIEGO;COL;12.905.045-1;;2000;0;0;0
CP-02-0621;EL ANDARIEGO;COL;16.468.714-8;1;2000;2.9;3.1;7.7
CP-02-0637;CON DIOS AL MAR;COL;12.905.045-1;1;2000;3;4.58;7.6
CP-02-0735;SANTI Y FABI;COL;12.905.045-1;1;2000;2.57;4.47;7.7
CP-02-08614;ROSA ISABEL II;KNA;12.905.045-1;510;2000;4.5;2;9
CP-02-0915;ELIANA;COL;900.411.544-3;1;2000;3.47;4.07;7.7
CP-02-0975;CONCHAS Y MARISCOS;COL;12.905.045-1;3;2000;6.21;8.58;10.1
CP-02-1292;JOSE BENILDA;COL;12.905.045-1;1;2000;3.5;4.22;7.7
CP-02-183;BARAJAS II;COL;16.468.714-8;1;2000;2.47;1.88;7.6
CP-02-558-B;ANYELO FERNEY;COL;16.468.714-8;;2000;0;0;0
CP-03-0469-A;CARMENCITA V;COL;900.105.050-5;3;2000;67.62;59.74;24.2
CP-03-0893-B;HABBIBI;COL;806.004.474-1;8;2000;4.95;4.1;9.95
CP-04-1706;BARRY I;COL;900.342.455-1;8;2000;17;2.9;10.9
CP-05-0099-A;CACHETONA II;COL;900.342.455-1;8;2000;23.46;14.94;12
CP-05-0100-A;CAROLINA VI;COL;900.342.455-1;8;2000;44.47;24.84;16.25
CP-05-0116-A;ACHE;COL;900.502.353-4;8;2000;21.4;4;12
CP-05-0126-A;BIENAVENTURANZA II;COL;806.004.474-1;8;2000;18.88;4.28;10
CP-05-0130-A;MADNESS;COL;900.342.455-1;8;2000;19.47;27.6;11.5
CP-05-0139-A;ZOE I;COL;900.342.455-1;8;2000;26.57;41.26;16.85
CP-05-0146-A;GAIRA I;COL;860.014.570-8;1;2000;43.22;7.01;19
CP-05-0157-A;GARABATO;COL;39.300.088;8;2000;13.34;2.06;13.1
CP-05-0197-A;ANNA SOFIA;COL;900.342.455-1;1;2000;21.97;5.51;13.4
CP-05-0204-A;AGAWAM;COL;806.004.474-1;9;2000;21.5;4.8;12.4
CP-05-0218-A;CLUB FORTUNA;COL;900.342.455-1;1;2000;23.81;4.04;15.09
CP-05-0236-A;EOS I;COL;806.004.474-1;8;2000;28;1.43;14.63
CP-05-0240-A;QUICK;COL;900.342.455-1;1;2000;33;2.5;16.45
CP-05-0243-A;CHICOTE;COL;900.342.455-1;1;2000;27.7;10.6;13.61
CP05-1500-B;MAJAYURA;COL;900.342.455-1;;2000;0;0;0
CP-05-1500-B;MAJAYURA;COL;900.342.455-1;8;2000;14.93;3.77;11.62
CP-05-2317-B;EXTASIS;COL;900.342.455-1;8;2000;21.83;37.45;14.5
CP-05-2669-B;ARMONIA;COL;900.342.455-1;1;2000;11.94;0;11
CP-05-2674-B;ILHA BELA;COL;39.300.088;8;2000;25.35;1.2;13.71
CP-05-2693-B;ALEGRIA I;COL;39.300.088;8;2000;21.26;14.87;14.05
CP-05-2715-B;CALIPSO IV;COL;900.504.340-8;8;2000;10.8;0;11.58
CP-05-3475-B;EMILY I;COL;900.371.443-5;8;2000;11;3.41;11.1
CP-05-3589-B;BIENAVENTURANZA IV;COL;806.004.474-1;8;2000;15.47;2.65;14.08
CP-05-4009-B;XEM3;COL;900.342.455-1;1;2000;15;2.5;11.97
CP-05-4075-B;ODDY SEA;COL;900.342.455-1;1;2000;27.64;4.9;13
CP-07-0203-A;PEREGRINA;COL;900.342.455-1;8;2000;13.36;0;10
CP-07-0220-A;PLAY LEWHISKY;COL;4.092.211;6;2000;24.88;8.91;12.8
